date,tmax,prec,pres,cloud,rhum
2000-01-01,78.11333333333333,0.0,1006.0645833333333,8.958333333333334,66.58333333333333
2000-01-02,76.84666666666668,0.011811023622047232,1002.3041666666666,58.375,77.41666666666667
2000-01-03,71.76666666666667,0.009186351706036733,1003.6937499999999,14.541666666666666,47.625
2000-01-04,55.78,0.0,1020.7104166666667,0.0,30.375
2000-01-05,59.96666666666667,0.0,1016.5583333333334,0.0,38.875
2000-01-06,67.82000000000001,0.0918897637795275,1013.2708333333333,37.125,79.04166666666667
2000-01-07,55.23333333333333,1.9761679790026248,1015.9833333333333,100.0,96.04166666666669
2000-01-08,62.79333333333333,0.4031758530183727,1009.9541666666667,71.875,82.33333333333333
2000-01-09,74.74666666666667,0.0,1003.6270833333333,0.0416666666666666,68.70833333333333
2000-01-10,78.3,0.0,1005.325,0.0,33.208333333333336
2000-01-11,76.18666666666667,0.0,1007.4416666666666,0.0,65.66666666666667
2000-01-12,78.89999999999999,0.0,1007.35625,54.833333333333336,84.95833333333333
2000-01-13,70.2,0.0,1016.2729166666666,15.541666666666666,69.20833333333333
2000-01-14,66.67999999999999,0.0,1026.0354166666666,19.45833333333333,32.541666666666664
2000-01-15,74.11333333333333,0.0,1020.6,50.625,65.625
2000-01-16,75.67999999999999,0.0,1016.7958333333333,49.91666666666666,76.08333333333333
2000-01-17,77.54666666666667,0.0,1015.1791666666667,62.625,73.33333333333333
2000-01-18,81.46,0.0,1010.2541666666667,1.9166666666666667,75.91666666666667
2000-01-19,84.62,0.0,1004.9354166666667,7.375,64.375
2000-01-20,64.32666666666667,0.0,1012.4041666666667,13.125,40.25
2000-01-21,62.54666666666666,0.0,1010.1833333333334,47.91666666666666,55.875
2000-01-22,74.2,0.0,1001.9291666666666,76.25,79.16666666666667
2000-01-23,73.54,0.0,1005.1104166666667,22.791666666666668,69.5
2000-01-24,59.6,0.0,1013.88125,8.083333333333334,53.54166666666666
2000-01-25,61.10666666666666,0.0,1011.6416666666667,16.0,46.25
2000-01-26,48.1,0.0,1012.79375,58.04166666666666,41.708333333333336
2000-01-27,45.72,0.6734645669291339,1009.8604166666667,96.70833333333331,88.04166666666667
2000-01-28,38.61333333333334,0.0,1017.3583333333333,73.45833333333333,66.66666666666667
2000-01-29,42.26,0.0,1019.8041666666667,49.333333333333336,59.16666666666666
2000-01-30,47.620000000000005,0.0,1019.475,9.166666666666666,64.91666666666667
2000-01-31,55.53333333333333,0.0,1014.6229166666666,36.66666666666666,70.79166666666667
2000-02-01,51.68666666666667,0.16800524934383199,1013.8145833333333,100.0,83.45833333333333
2000-02-02,54.48,0.10257217847769028,1019.9749999999999,62.125,73.91666666666667
2000-02-03,72.18666666666667,0.0,1013.7083333333333,0.0,71.0
2000-02-04,61.56,0.0,1017.6770833333334,0.0,52.125
2000-02-05,56.98666666666667,0.0,1022.4229166666667,2.6666666666666665,50.54166666666666
2000-02-06,65.11333333333333,0.0,1017.30625,44.708333333333336,74.95833333333333
2000-02-07,73.12,0.006561679790026234,1016.5604166666667,33.958333333333336,77.5
2000-02-08,73.81333333333333,0.0,1018.85,0.0,68.16666666666667
2000-02-09,74.29333333333334,0.0,1012.0708333333333,22.5,73.16666666666667
2000-02-10,81.18666666666667,0.0,1002.4583333333334,11.458333333333334,77.25
2000-02-11,73.74,0.0,1002.5791666666667,13.625,69.66666666666667
2000-02-12,66.19333333333333,0.0,1006.3458333333334,71.29166666666667,72.79166666666667
2000-02-13,82.3,0.0,1000.0020833333333,43.91666666666666,63.91666666666666
2000-02-14,73.74666666666667,0.0,1006.1458333333333,9.666666666666666,44.583333333333336
2000-02-15,80.94666666666667,0.0,1007.0458333333333,24.08333333333333,73.08333333333333
2000-02-16,79.08,0.0013123359580052335,1008.2416666666666,73.66666666666667,81.83333333333333
2000-02-17,83.20666666666666,0.027559055118110232,1005.0958333333334,72.875,83.375
2000-02-18,80.64666666666666,0.0375590551181102,1005.7125000000001,55.833333333333336,72.70833333333333
2000-02-19,62.88,0.0,1018.3229166666666,19.45833333333333,39.708333333333336
2000-02-20,67.06666666666666,0.0,1020.625,61.75,45.29166666666666
2000-02-21,74.23333333333333,0.0,1016.4083333333333,66.91666666666667,69.91666666666667
2000-02-22,75.40666666666668,0.5720472440944883,1009.4875,81.95833333333333,80.29166666666667
2000-02-23,78.80666666666667,0.15566929133858262,1007.9541666666667,38.083333333333336,70.45833333333333
2000-02-24,80.49333333333334,0.003937007874015733,1005.8708333333334,46.375,78.125
2000-02-25,81.09333333333333,0.018372703412073466,1001.9625,46.91666666666666,76.5
2000-02-26,71.43333333333334,0.4039370078740158,1008.1875,46.79166666666666,60.66666666666666
2000-02-27,72.30666666666666,0.0,1016.0979166666666,0.0,47.208333333333336
2000-02-28,74.41333333333334,0.0,1011.5458333333333,7.458333333333333,59.5
2000-02-29,77.3,0.002624671916010467,1006.5083333333333,62.04166666666666,75.20833333333333
2000-03-01,78.89999999999999,0.0013123359580052335,1010.2625,82.625,84.91666666666667
2000-03-02,80.49333333333334,0.002624671916010467,1004.2208333333333,55.0,76.33333333333333
2000-03-03,70.08,0.002624671916010467,1007.2708333333334,10.291666666666666,58.16666666666666
2000-03-04,66.13333333333333,0.0,1010.3520833333334,10.666666666666666,52.04166666666666
2000-03-05,71.85333333333334,0.0,1006.1270833333333,54.833333333333336,64.54166666666667
2000-03-06,79.92,0.003937007874015733,1006.4479166666666,80.08333333333333,71.54166666666667
2000-03-07,81.66666666666667,0.02230971128608923,1005.2854166666666,76.375,79.5
