date,tmax,prec,pres,cloud,rhum
2000-01-01,78.96,0.0013123359580052335,1021.6458333333334,13.791666666666666,73.75
2000-01-02,78.02666666666666,0.0,1022.0416666666666,2.5416666666666665,67.20833333333333
2000-01-03,78.56666666666666,0.006561679790026234,1020.4166666666666,29.625,73.70833333333333
2000-01-04,79.26,0.002624671916010467,1019.3895833333333,18.916666666666668,79.95833333333333
2000-01-05,77.93333333333334,0.1832808398950131,1019.8708333333334,45.25,86.08333333333333
2000-01-06,79.14,0.011811023622047232,1022.4625000000001,24.75,79.79166666666667
2000-01-07,79.14,0.0,1022.9458333333333,18.125,78.75
2000-01-08,78.96,0.0,1021.2416666666668,11.75,77.625
2000-01-09,79.56,0.0,1019.35,17.583333333333332,75.875
2000-01-10,80.82666666666667,0.0,1018.21875,18.58333333333333,74.29166666666667
2000-01-11,80.97333333333334,0.01,1020.3416666666667,40.75,82.70833333333333
2000-01-12,78.26666666666667,0.0,1022.5333333333333,0.625,62.625
2000-01-13,77.90666666666668,0.0118110236220472,1022.8854166666666,27.58333333333333,73.5
2000-01-14,73.89999999999999,0.0,1025.175,24.166666666666668,68.45833333333333
2000-01-15,70.12,0.002624671916010467,1031.1770833333335,77.29166666666667,54.833333333333336
2000-01-16,71.31333333333333,0.0013123359580052335,1029.1083333333333,79.0,52.66666666666666
2000-01-17,72.69333333333333,0.0,1025.175,10.625,50.54166666666666
2000-01-18,74.5,0.0,1021.4,2.5,59.583333333333336
2000-01-19,76.18666666666667,0.0,1017.7645833333333,26.791666666666668,70.04166666666667
2000-01-20,76.78666666666668,0.02322834645669287,1013.6125,27.291666666666668,72.125
2000-01-21,66.28,0.0,1017.2750000000001,0.5,55.66666666666666
2000-01-22,71.79333333333334,0.0,1019.8416666666667,18.45833333333333,61.125
2000-01-23,78.20666666666666,0.0,1017.5479166666667,12.916666666666666,63.04166666666666
2000-01-24,74.14,0.31622047244094487,1008.9666666666668,49.625,79.58333333333333
2000-01-25,64.32666666666667,0.0,1011.775,47.41666666666666,62.375
2000-01-26,61.10666666666666,0.0,1016.4875,18.20833333333333,62.583333333333336
2000-01-27,63.879999999999995,0.0,1022.7458333333334,5.125,60.54166666666666
2000-01-28,72.82,0.0,1023.125,80.70833333333333,61.875
2000-01-29,75.86,0.0013123359580052335,1022.375,34.0,68.41666666666667
2000-01-30,76.64,0.006561679790026234,1021.9666666666667,29.875,73.375
2000-01-31,77.06,0.032519685039370035,1019.4937500000001,27.875,79.20833333333333
2000-02-01,76.22000000000001,0.02968503937007873,1020.10625,45.083333333333336,82.41666666666667
2000-02-02,71.46,0.02624671916010497,1021.3875,72.54166666666667,80.79166666666667
2000-02-03,75.07333333333334,0.4825984251968505,1018.5770833333333,66.29166666666667,81.95833333333333
2000-02-04,71.36666666666667,0.03412073490813646,1016.8208333333334,60.25,84.5
2000-02-05,66.79333333333334,0.0,1022.01875,1.9166666666666667,61.833333333333336
2000-02-06,70.2,0.0,1026.6520833333334,27.625,63.16666666666666
2000-02-07,73.83999999999999,0.0,1025.1,48.833333333333336,54.583333333333336
2000-02-08,68.14,0.4523622047244094,1022.8041666666667,80.54166666666667,66.58333333333333
2000-02-09,69.62666666666667,0.18091863517060366,1019.75,28.125,68.70833333333333
2000-02-10,69.53333333333333,0.0,1019.5729166666667,0.4166666666666667,58.583333333333336
2000-02-11,73.0,0.0,1020.2645833333333,0.3333333333333333,67.79166666666667
2000-02-12,76.34,0.0,1020.5625,19.291666666666668,68.08333333333333
2000-02-13,77.66666666666667,0.0,1020.0916666666666,2.25,70.41666666666667
2000-02-14,80.19333333333334,0.0013123359580052335,1018.8145833333334,25.0,81.75
2000-02-15,79.89333333333333,0.03989501312335957,1020.2479166666666,21.666666666666668,83.79166666666667
2000-02-16,77.96666666666667,0.0,1022.2958333333333,3.375,71.79166666666667
2000-02-17,76.97333333333334,0.0,1022.3104166666667,8.208333333333334,67.25
2000-02-18,79.26,0.003937007874015733,1022.2083333333334,19.33333333333333,76.66666666666667
2000-02-19,79.77333333333333,0.010498687664041967,1022.2833333333333,9.0,76.75
2000-02-20,80.49333333333333,0.007874015748031466,1022.7708333333334,42.125,81.0
2000-02-21,76.28,0.014435695538057734,1023.0562500000001,51.958333333333336,70.08333333333333
2000-02-22,75.5,0.1112860892388451,1023.0041666666667,34.0,70.16666666666667
2000-02-23,75.16666666666667,0.0,1023.6041666666665,59.54166666666666,55.958333333333336
2000-02-24,76.16000000000001,0.06866141732283464,1022.51875,51.0,63.25
2000-02-25,75.98,0.10249343832020992,1021.5250000000001,37.41666666666666,77.45833333333333
2000-02-26,77.06666666666666,0.0184776902887139,1021.9895833333335,41.54166666666666,77.08333333333333
2000-02-27,78.36,0.0,1021.8770833333333,23.5,67.91666666666667
2000-02-28,79.68666666666667,0.002624671916010467,1020.1041666666666,36.5,74.41666666666667
2000-02-29,77.39333333333333,0.02847769028871387,1021.2541666666666,29.166666666666668,71.125
2000-03-01,79.32000000000001,0.0,1021.9645833333334,12.291666666666666,61.875
2000-03-02,78.86666666666666,0.0,1019.0354166666666,3.583333333333333,61.16666666666666
2000-03-03,80.01333333333334,0.0,1016.4895833333333,30.666666666666668,70.875
2000-03-04,80.82,0.0,1014.7916666666667,14.333333333333334,67.70833333333333
2000-03-05,80.97333333333334,0.0,1015.6541666666666,31.916666666666668,72.95833333333333
2000-03-06,81.28,0.0,1018.8166666666666,17.541666666666668,69.33333333333333
2000-03-07,77.42666666666668,0.0,1021.4791666666666,59.875,57.91666666666666
